DATESTAMP,INSTRUMENT_ID,LIST_SECTION,RN,SUPERTYPE,INSTRUMENT_TYPE,INSTRUMENT_CATEGORY,TRADE_CODE,ISIN,REGISTRY_NUMBER,REGISTRY_DATE,EMITENT_FULL_NAME,INN,NOMINAL,CURRENCY,ISSUE_AMOUNT,DECISION_DATE,OKSM_EDR,ONLY_EMITENT_FULL_NAME,REG_COUNTRY,QUALIFIED_INVESTOR,HAS_PROSPECTUS,IS_CONCESSION_AGREEMENT,IS_MORTGAGE_AGENT,INCLUDED_DURING_CREATION,SECURITY_HAS_DEFAULT,SECURITY_HAS_TECH_DEFAULT,INCLUDED_WITHOUT_COMPLIANCE,RETAINED_WITHOUT_COMPLIANCE,HAS_RESTRICTION_CIRCULATION,LISTING_LEVEL_HIST,OBLIGATION_PROGRAM_RN,COUPON_PERCENT,EARLY_REPAYMENT,EARLY_REDEMPTION,ISS_BOARDS,OTHER_SECURITIES,DISCLOSURE_PART_PAGE,DISCLOSURE_RF_INFO_PAGE,
"30.11.2018 0:00:00","9589","Первый уровень","11","Облигации","Облигация муниципальная","муниципальные облигации города Омска 2016 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга","RU000A0JWWQ9","RU000A0JWWQ9","RU34002OMK1","14.10.2016 0:00:00","Администрация города Омска","5503047244","1000","Рубль","2500000","24.10.2016 0:00:00","","","","","","","","","","","","","","24.10.2016 Включение в Первый уровень","","9,9%","+","+","Т0 Облигации РПС : Облигации РЕПО c облигациями РЕПО с ЦК 1 день РПС с ЦК: Облигации РЕПО с ЦК Адресное РЕПО с ЦК 1 день (расч. в USD) РЕПО с ЦК 1 день (расч. в EUR) РЕПО с ЦК 7 дн. РЕПО с ЦК адр. (расч. в USD) РЕПО с ЦК адр.(расч. в EUR) РЕПО c облигациями(расч.в USD) РЕПО с ЦК 7 дней c расчетами в долларах США РЕПО с ЦК 7 дней c расчетами в евро","","http://admomsk.ru/web/guest/government/divisions/34/debt-policy","",
"30.11.2018 0:00:00","3762","Первый уровень","12","Акции","Акция обыкновенная","акции обыкновенные","ALRS","RU0007252813","1-03-40046-N","25.08.2011 0:00:00","Акционерная компания ""АЛРОСА"" (публичное акционерное общество)","1433000147","0,5","Рубль","7364965630","23.11.2011 0:00:00","","","","","+","","","","","","","","","09.06.2014 Включение в Первый уровень 02.10.2012 Включение в Котировальный список ""А"" первого уровня 17.04.2012 Включение в Котировальный список ""А"" второго уровня 23.11.2011 Включение в Перечень внесписочных ценных бумаг","","","","","РПС : Акции РЕПО c акциями Т+ Неполные лоты (акции) Крупные пакеты - Акции РЕПО с ЦК 1 день РЕПО с ЦК Адресное Т+ Акции и ДР РПС с ЦК: Акции и ДР РЕПО с ЦК 1 день (расч. в USD) РЕПО с ЦК 1 день (расч. в EUR) РЕПО с ЦК 7 дн. РЕПО с ЦК адр. (расч. в USD) РЕПО с ЦК адр.(расч. в EUR) РЕПО c акциями(расч.в USD) РЕПО с ЦК 7 дней c расчетами в долларах США РЕПО с ЦК 7 дней c расчетами в евро","Облигация биржевая, 4B02-03-40046-N Облигация биржевая, 4B02-04-40046-N Облигация биржевая, 4B02-05-40046-N Облигация биржевая, 4B02-06-40046-N Облигация биржевая, 4B02-07-40046-N Облигация биржевая, 4B02-08-40046-N Облигация биржевая, 4B02-09-40046-N Облигация биржевая, 4B02-10-40046-N Облигация биржевая, 4B02-11-40046-N Облигация биржевая, 4B02-12-40046-N","http://www.alrosa.ru/инвесторам-и-акционерам/","http://www.e-disclosure.ru/portal/company.aspx?id=199",
"30.11.2018 0:00:00","4492","Первый уровень","13","Облигации","Облигация биржевая","документарные процентные неконвертируемые биржевые облигации на предъявителя серии БО-03 с обязательным централизованным хранением","","","4B02-03-40046-N","19.10.2012 0:00:00","Акционерная компания ""АЛРОСА"" (публичное акционерное общество)","1433000147","1000","Рубль","5000000","19.10.2012 0:00:00","","","","","+","","","+","","","","+","","09.06.2014 Включение в Первый уровень 25.10.2012 Включение в Котировальный список ""А"" первого уровня","","","+","","","Акция обыкновенная, 1-03-40046-N, RU0007252813 Облигация биржевая, 4B02-04-40046-N Облигация биржевая, 4B02-05-40046-N Облигация биржевая, 4B02-06-40046-N Облигация биржевая, 4B02-07-40046-N Облигация биржевая, 4B02-08-40046-N Облигация биржевая, 4B02-09-40046-N Облигация биржевая, 4B02-10-40046-N Облигация биржевая, 4B02-11-40046-N Облигация биржевая, 4B02-12-40046-N","http://www.alrosa.ru/инвесторам-и-акционерам/","http://www.e-disclosure.ru/portal/company.aspx?id=199",
"30.11.2018 0:00:00","4493","Первый уровень","14","Облигации","Облигация биржевая","документарные процентные неконвертируемые биржевые облигации на предъявителя серии БО-04 с обязательным централизованным хранением","","","4B02-04-40046-N","19.10.2012 0:00:00","Акционерная компания ""АЛРОСА"" (публичное акционерное общество)","1433000147","1000","Рубль","5000000","19.10.2012 0:00:00","","","","","+","","","+","","","","+","","09.06.2014 Включение в Первый уровень 25.10.2012 Включение в Котировальный список ""А"" первого уровня","","","+","","","Акция обыкновенная, 1-03-40046-N, RU0007252813 Облигация биржевая, 4B02-03-40046-N Облигация биржевая, 4B02-05-40046-N Облигация биржевая, 4B02-06-40046-N Облигация биржевая, 4B02-07-40046-N Облигация биржевая, 4B02-08-40046-N Облигация биржевая, 4B02-09-40046-N Облигация биржевая, 4B02-10-40046-N Облигация биржевая, 4B02-11-40046-N Облигация биржевая, 4B02-12-40046-N","http://www.alrosa.ru/инвесторам-и-акционерам/","http://www.e-disclosure.ru/portal/company.aspx?id=199",
"30.11.2018 0:00:00","4494","Первый уровень","15","Облигации","Облигация биржевая","документарные процентные неконвертируемые биржевые облигации на предъявителя серии БО-05 с обязательным централизованным хранением","","","4B02-05-40046-N","19.10.2012 0:00:00","Акционерная компания ""АЛРОСА"" (публичное акционерное общество)","1433000147","1000","Рубль","5000000","19.10.2012 0:00:00","","","","","+","","","+","","","","+","","09.06.2014 Включение в Первый уровень 25.10.2012 Включение в Котировальный список ""А"" первого уровня","","","+","","","Акция обыкновенная, 1-03-40046-N, RU0007252813 Облигация биржевая, 4B02-03-40046-N Облигация биржевая, 4B02-04-40046-N Облигация биржевая, 4B02-06-40046-N Облигация биржевая, 4B02-07-40046-N Облигация биржевая, 4B02-08-40046-N Облигация биржевая, 4B02-09-40046-N Облигация биржевая, 4B02-10-40046-N Облигация биржевая, 4B02-11-40046-N Облигация биржевая, 4B02-12-40046-N","http://www.alrosa.ru/инвесторам-и-акционерам/","http://www.e-disclosure.ru/portal/company.aspx?id=199",
"30.11.2018 0:00:00","4495","Первый уровень","16","Облигации","Облигация биржевая","документарные процентные неконвертируемые биржевые облигации на предъявителя серии БО-06 с обязательным централизованным хранением","","","4B02-06-40046-N","19.10.2012 0:00:00","Акционерная компания ""АЛРОСА"" (публичное акционерное общество)","1433000147","1000","Рубль","5000000","19.10.2012 0:00:00","","","","","+","","","+","","","","+","","09.06.2014 Включение в Первый уровень 25.10.2012 Включение в Котировальный список ""А"" первого уровня","","","+","","","Акция обыкновенная, 1-03-40046-N, RU0007252813 Облигация биржевая, 4B02-03-40046-N Облигация биржевая, 4B02-04-40046-N Облигация биржевая, 4B02-05-40046-N Облигация биржевая, 4B02-07-40046-N Облигация биржевая, 4B02-08-40046-N Облигация биржевая, 4B02-09-40046-N Облигация биржевая, 4B02-10-40046-N Облигация биржевая, 4B02-11-40046-N Облигация биржевая, 4B02-12-40046-N","http://www.alrosa.ru/инвесторам-и-акционерам/","http://www.e-disclosure.ru/portal/company.aspx?id=199",
"30.11.2018 0:00:00","10824","Первый уровень","17","Облигации","Облигация биржевая","биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии 001Р-01","RU000A0ZYR18","RU000A0ZYR18","4B02-01-01068-K-001P","01.02.2018 0:00:00","Акционерное общество ""Башкирская содовая компания""","0268008010","1000","Рубль","8000000","01.02.2018 0:00:00","","","","","+","","","","","","","","","01.02.2018 Включение в Первый уровень","4-01068-K-001P-02E","8,1%","+","","Т0 Облигации РПС : Облигации РЕПО c облигациями РЕПО с ЦК 1 день РПС с ЦК: Облигации РЕПО с ЦК Адресное РЕПО с ЦК 1 день (расч. в USD) РЕПО с ЦК 1 день (расч. в EUR) РЕПО с ЦК 7 дн. РЕПО с ЦК адр. (расч. в USD) РЕПО с ЦК адр.(расч. в EUR) РЕПО c облигациями(расч.в USD) РЕПО с ЦК 7 дней c расчетами в долларах США РЕПО с ЦК 7 дней c расчетами в евро","","http://www.soda.ru/","http://www.e-disclosure.ru/portal/company.aspx?id=2069",
"30.11.2018 0:00:00","3999","Первый уровень","18","Облигации","Облигация корпоративная","документарные неконвертируемые процентные облигации на предъявителя серии 01 с обязательным централизованным хранением","RU000A0JRJC6","RU000A0JRJC6","4-01-20468-P","27.01.2011 0:00:00","Акционерное общество ""Волга-Спорт""","5257116711","1000","Рубль","1400000","12.12.2011 0:00:00","","","","","+","+","","","","","","","","09.06.2014 Включение в Первый уровень 12.12.2011 Включение в Котировальный список ""А"" первого уровня","","5,16%","+","","Т0 Облигации РПС : Облигации РЕПО c облигациями РЕПО c облигациями(расч.в USD)","Облигация корпоративная, 4-02-20468-P, RU000A0JT593","http://www.volga-sport.com/about/","http://www.e-disclosure.ru/portal/company.aspx?id=28606",
"30.11.2018 0:00:00","4475","Первый уровень","19","Облигации","Облигация корпоративная","документарные неконвертируемые процентные облигации на предъявителя серии 02 с обязательным централизованным хранением","RU000A0JT593","RU000A0JT593","4-02-20468-P","11.10.2012 0:00:00","Акционерное общество ""Волга-Спорт""","5257116711","1000","Рубль","1900000","23.10.2012 0:00:00","","","","","+","+","","","","","","","","18.11.2014 Включение в Первый уровень 17.11.2014 Включение в Третий уровень 09.06.2014 Включение в Первый уровень 29.10.2012 Включение в Котировальный список ""А"" первого уровня","","9%","+","","Т0 Облигации РПС : Облигации РЕПО c облигациями РЕПО c облигациями(расч.в USD)","Облигация корпоративная, 4-01-20468-P, RU000A0JRJC6","http://www.volga-sport.com/about/","http://www.e-disclosure.ru/portal/company.aspx?id=28606",
"30.11.2018 0:00:00","10560","Первый уровень","20","Облигации","Облигация биржевая","Биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии 001P-01","RU000A0ZYCJ8","RU000A0ZYCJ8","4B020103287B001P","06.10.2017 0:00:00","Акционерное общество ""Всероссийский банк развития регионов""","7736153344","1000","Рубль","10000000","06.10.2017 0:00:00","","","","","+","","","","","","","","","06.10.2017 Включение в Первый уровень","403287B001P02E","8,5%","+","","Т0 Облигации РПС : Облигации РЕПО c облигациями РЕПО с ЦК 1 день РПС с ЦК: Облигации РЕПО с ЦК Адресное РЕПО с ЦК 1 день (расч. в USD) РЕПО с ЦК 1 день (расч. в EUR) РЕПО с ЦК 7 дн. РЕПО с ЦК адр. (расч. в USD) РЕПО с ЦК адр.(расч. в EUR) РЕПО c облигациями(расч.в USD) РЕПО с ЦК 7 дней c расчетами в долларах США РЕПО с ЦК 7 дней c расчетами в евро","Облигация биржевая, 4B020203287B001P, RU000A0ZYQX9","https://www.vbrr.ru/investors/","https://www.e-disclosure.ru/portal/company.aspx?id=612",
"30.11.2018 0:00:00","10819","Первый уровень","21","Облигации","Облигация биржевая","Биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии 001P-02","RU000A0ZYQX9","RU000A0ZYQX9","4B020203287B001P","30.01.2018 0:00:00","Акционерное общество ""Всероссийский банк развития регионов""","7736153344","1000","Рубль","5000000","30.01.2018 0:00:00","","","","","+","","","","","","","","","30.01.2018 Включение в Первый уровень","403287B001P02E","7,8%","+","","Т0 Облигации РПС : Облигации РЕПО c облигациями РЕПО c облигациями(расч.в USD)","Облигация биржевая, 4B020103287B001P, RU000A0ZYCJ8","https://www.vbrr.ru/investors/","https://www.e-disclosure.ru/portal/company.aspx?id=612",
